,index,activity,location,sex,year,injury,case_number,time,age,type,area,country,fatal_y_n,species,index_original
38,41,Surfing,Ka’anapali Shores,M,2013,Right thigh bitten,2013.04.04,Morning,58,Unprovoked,Hawaii,USA,N,unknown,41
39,43,Surfing,"Davidson's Surf Break, Kekaha, Kaua'i",M,2012,"No injury, surfboard bitten",2012.11.19,Morning,43,Unprovoked,Hawaii,USA,N,tiger,43
40,44,Shark fishing,Off the Isle of Islay,M,2012,"No injury, shoe bitten by hooked and landed shark PROVOKED INCIDENT",2012.09.02.b,Unknown,53,Provoked,Inner Hebrides,SCOTLAND,N,porbeagle,44
41,46,Wading,"Avon, Hatteras Island, Outer Banks, Dare County",F,2012,Foot bitten,2012.06.02.b,Unknown,33,Unprovoked,North Carolina,USA,N,unknown,46
42,47,Surfing,Wurtulla,M,2012,"No injury, but fin lost from surfboard",2012.02.25,Morning,29,Unprovoked,Queensland,AUSTRALIA,N,unknown,47
43,48,Surfing,"Marina State Beach, Monterey County",M,2011,"Lacerations to right wrist, foream & neck",2011.11.12,Unknown,27,Unprovoked,California,USA,N,unknown,48
44,49,Spearfishing,French Cay,M,2011,Right calf bitten,2011.06.24,Unknown,35,Unprovoked,Caicos Bank,TURKS & CAICOS,N,unknown,49
45,51,Surfing,"New Smyrna Beach, Volusia County",M,2010,"No injury, shark charged surfboard",2010.09.07,Unknown,,Unprovoked,Florida,USA,N,unknown,51
46,52,Surfing,Cowaramup Bay,M,2010,FATAL,2010.08.29,Morning,31,Unprovoked,Western Australia,AUSTRALIA,Y,unknown,52
47,53,Surfing,Point Plomer,M,2010,Superficial lacerations to lower left leg,2010.05.18.c,Unknown,,Unprovoked,New South Wales,AUSTRALIA,N,unknown,53
48,55,Surfing,"Kalama Park, Maui",M,2009,Bitten on upper right thigh & right ankle,2009.10.28,Morning,54,Unprovoked,Hawaii,USA,N,unknown,55
49,56,Swimming,"Corolla, Currituck County",M,2009,FATAL,2009.09.15,Evening,60,Invalid,North Carolina,USA,Y,unknown,56
50,57,Fishing,Onboard the fishing vessel Chin Sheng Fa 13,M,2009,Lacerations to knee & left lower leg by electrocuted captive shark PROVOKED INCIDENT,2009.06.02.a,Evening,46,Provoked,Off Green Island,TAIWAN,N,unknown,57
51,58,Spearfishing,,M,2008,Legs bitten,2008.11.06,Morning,24,Unprovoked,,NEW CALEDONIA,N,lemon,58
52,59,Wading,"New Smyrna Beach, Volusia County",F,2008,Puncture wounds & 3-inch laceration to right calf,2008.08.18,Unknown,13,Unprovoked,Florida,USA,N,unknown,59
53,60,Diving,"Ala Moana Beach Park, Oah'u",M,2008,"No injury, shark grabbed his bag of fish",2008.08.16,Unknown,,Unprovoked,Hawaii,USA,N,tiger,60
54,61,Swimming,"Emerald Isle, Carteret County",F,2008,Lacerations to  right foot,2008.07.13,Evening,14,Unprovoked,North Carolina,USA,N,unknown,61
55,62,Surfing,"Santa Monica, Los Angeles County",M,2007,Puncture wound to foot,2007.10.07,Morning,,Unprovoked,California,USA,N,unknown,62
56,63,Surfing,"Moonstone Beach, Humboldt County",F,2007,"No injury to surfer, surfboard bitten",2007.09.30.a,Morning,,Unprovoked,California,USA,N,unknown,63
57,65,Swimming,"Will Rogers State Beach, Los Angeles County",F,2007,Hand bitten,2007.07.00,Morning,,Unprovoked,California,USA,N,unknown,65
58,67,Surfing,South Golden Beach,F,2007,Lacerations to 3 fingers of left hand,2007.03.22,Morning,42,Unprovoked,New South Wales,AUSTRALIA,N,unknown,67
59,68,Diving,Cape Howe,M,2007,Head & torso bitten,2007.01.25.b,Morning,41,Unprovoked,New South Wales,AUSTRALIA,N,unknown,68
60,69,Surfing,"204s, San Clemente, Orange County",M,2004,Foot bitten,2004.08.29,Evening,,Unprovoked,California,USA,N,unknown,69
61,70,Surfing,"Kalihiwai Beach, Kauai",M,2004,"No injury, board bitten",2004.03.24,Morning,51.0,Unprovoked,Hawaii,USA,N,tiger,70
62,71,Snorkeling,"Coral Bay, Sharm-el-Sheikh",M,2004,FATAL,2004.02.21,Unknown,,Unprovoked,,EGYPT,Y,unknown,71
63,72,Surfing amid a shoal of sharks,Collendina Beach east of Ocean Grove,M,2003,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",2003.12.13.b,Morning,36.0,Unprovoked,Victoria,AUSTRALIA,N,unknown,72
64,73,Fishing from prawn trawler,Darwin,M,2002,Netted shark injured his am & 6 fingers PROVOKED INCIDENT,2002.05.13,Unknown,20.0,Provoked,Northern Territory,AUSTRALIA,N,unknown,73
65,75,Surfing,"New Smyrna Beach, Volusia County",M,2001,Cuts on right foot,2001.08.22,Unknown,32.0,Unprovoked,Florida,USA,N,unknown,75
66,76,Surfing,"New Smyrna Beach, Volusia County",M,2001,Foot & ankle lacerated,2001.05.00,Morning,16.0,Unprovoked,Florida,USA,N,unknown,76
67,77,Surfing,"New Smyrna Beach, Volusia County",M,2001,Foot & ankle lacerated,2001.04.13.a,Unknown,38.0,Unprovoked,Florida,USA,N,unknown,77
68,78,Body-boarding,"Sandy Beach, Oahu",M,2001,"Minor cuts on left hand, body board bitten",2001.04.02.b,Unknown,,Unprovoked,Hawaii,USA,N,unknown,78
69,81,Swimming,"Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)",M,2000,FATAL,2000.09.10.b,Unknown,28.0,Unprovoked,,TANZANIA,Y,zambesi,81
70,82,Swimming,"Coco Beach, Dar-es-Salaam",,2000,FATAL,2000.09.08.b,Unknown,,Unprovoked,,TANZANIA,Y,zambesi,82
71,83,Fishing,"Papamoa Beach, Bay of Plenty",M,2000,"No injury, shark bit the dinghy",2000.07.00,Unknown,,Watercraft,North Island,NEW ZEALAND,N,unknown,83
72,84,Surfing,"Palm Beach, Palm Beach County",M,1999,Lacerations to hand & wrist,1999.12.06,Unknown,19,Unprovoked,Florida,USA,N,unknown,84
73,85,Wading with surfboard,"Ponce Inlet, Volusia County",M,1999,Right foot bitten,1999.09.05,Evening,39,Unprovoked,Florida,USA,N,unknown,85
74,86,Surfing,"South of Ponce Inlet, Volusia County",M,1999,Right hand and wrist lacerated,1999.07.03,Morning,21,Unprovoked,Florida,USA,N,unknown,86
75,87,Swimming,Pointe aux Canonniers,F,1999,Thigh bitten,1999.05.29,Morning,41,Unprovoked,Grand Baie,MAURITIUS,N,reef,87
76,88,Surfing,"Sebastian Inlet, Indian River County",M,1998,Right hand bitten,1998.10.24,Unknown,,Unprovoked,Florida,USA,N,unknown,88
77,89,Body boarding,Sardinia Bay near Port Elizabeth,M,1998,Right shoulder & arm bitten,1998.06.05,Unknown,15.0,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,89
78,90,Wade-fishing,"Carysfort Lighthouse, Key Largo, Monroe County",M,1997,Left forearm & wrist bitten,1997.08.09,Unknown,,Unprovoked,Florida,USA,N,unknown,90
79,91,Swimming,"Carrara, Nerang River",F,1997,Left leg biten,1997.05.17,Unknown,21,Unprovoked,Queensland,AUSTRALIA,N,unknown,91
80,92,Surfing,Candeias,M,1995,"Arm bitten, FATAL",1995.07.24,Unknown,18,Unprovoked,Pernambuco,BRAZIL,Y,unknown,92
81,93,Kayaking,"LaJolla Shores, San Diego County",F,1995,Minor injuries,1995.07.00,Unknown,,Unprovoked,California,USA,N,unknown,93
82,94,Swimming,First Beach,F,1995,"FATAL, left  leg & forearm severed",1995.06.16,Unknown,45,Unprovoked,Clearwater Bay,HONG KONG,Y,tiger,94
83,95,Wind surfing,,M,1995,Right ankle & foot bitten,1995.03.05,Unknown,,Unprovoked,,VENEZUELA,N,unknown,95
84,96,Body boarding,Mossel Bay,M,1994,"No injury, board bitten",1995.00.00.c,Unknown,26.0,Unprovoked,Western Cape Province,SOUTH AFRICA,N,unknown,96
85,97,Surfing,Piedade,M,1994,Survived,1994.12.30,Unknown,,Unprovoked,Pernambuco,BRAZIL,N,unknown,97
86,98,Surfing,"Boa Viagem, Recife",M,1994,Survived,1994.07.09.b,Unknown,,Unprovoked,Pernambuco,BRAZIL,N,unknown,98
87,99,Wading,"Spessard Holland Park, Melbourne Beach, Brevard County",F,1994,Lower left calf & ankle  lacerated,1994.05.31.a,Unknown,36,Unprovoked,Florida,USA,N,unknown,99
88,100,"Surfing, paddling shorewards","Horners, Wailua, Kaua'i",M,1993,Left leg severely bitten,1993.11.28,Morning,,Unprovoked,Hawaii,USA,N,unknown,100
89,101,Swimming,"Port Sandwich, Malakula",F,1992,Right leg was bitten above and below the knee and an artery was punctured,1992.06.28.b,Unknown,21,Unprovoked,Malampa Province,VANUATU,N,unknown,101
90,102,Diving,,,1992,Survived,1992.06.19,Unknown,,Unprovoked,Saint-Paul,REUNION,N,unknown,102
91,104,Fishing,"Praia de Pau Amarelo, Recife",,1991,2 fingers severed by netted shark PROVOKED INCIDENT,1991.05.26,Unknown,,Provoked,Pernambuco,BRAZIL,N,unknown,104
92,105,Diving,Baltimore Aquarium,,1991,Minor injury by captive shark PROVOKED INCIDENT,1991.05.19,Morning,,Provoked,Maryland,USA,N,unknown,105
93,106,Sitting on surfboard,"One'ula Beach Park, 'Ewa Beach, O'ahu",M,1991,Deep lacerations to calf & ankle,1991.04.16.b,Evening,,Unprovoked,Hawaii,USA,N,unknown,106
94,107,Surfing (lying prone on his board),"Pacific Beach, Grays Harbor County",M,1989,Forearm bitten,1989.06.00,Morning,,Unprovoked,Washington,USA,N,unknown,107
95,108,Surfing / treading water,"Melbourne Beach, Brevard County",M,1988,Left leg & right foot bitten,1988.05.27,Morning,29.0,Unprovoked,Florida,USA,N,unknown,108
96,109,Swimming,"Singer Island, Riviera Beach, Palm Beach County",M,1988,Lacerations to left foot,1988.04.28,Evening,24,Unprovoked,Florida,USA,N,unknown,109
97,110,Surfing,"Singer Island, Riviera Beach, Palm Beach County",M,1988,Right hand bitten,1988.04.15a,Unknown,14,Unprovoked,Florida,USA,N,unknown,110
98,111,,Muizenberg,,1987,"No injury to occupants, boat holed by hooked shark PROVOKED INCIDENT",1987.04.01,Unknown,,Provoked,Western Cape Province,SOUTH AFRICA,N,unknown,111
99,112,Surfing,"Daytona Beach, Volusia County",M,1986,5' gash in leg,1986.12.04,Morning,17.0,Unprovoked,Florida,USA,N,unknown,112
100,113,Spearfishing,Reef on seaward side of Geyser Island,M,1986,"No injury, shark made threat display & impaled itself on spear",1986.09.00.a,Morning,35.0,Invalid,Western Cape Province,SOUTH AFRICA,U,unknown,113
101,114,Wading,"Mission Beach, San Diego County",M,1984,Arm bitten,1984.09.22.a,Unknown,,Unprovoked,California,USA,N,blue,114
102,115,Rowing,Swartkops River mouth,M,1984,"No injury to occupant, shark seized oar and disappeared with it.",1984.03.17,Unknown,,Watercraft,Eastern Cape Province,SOUTH AFRICA,N,unknown,115
103,116,Surfing,"Indiatlantic, Brevard County",M,1984,Right foot bitten,1984.01.04,Unknown,,Unprovoked,Florida,USA,N,unknown,116
104,117,Surfing,"Seal Point, Cape St. Francis",M,1983,Left arm injured by shark's tail as it swam beneath his board,1983.07.25.b,Unknown,,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,117
105,118,Ran into the water,"Off the beach opposite Atchin Island, Malakula",M,1983,"FATAL, arm/shoulder severed",1983.01.08,Unknown,,Unprovoked,Malampa Province,VANUATU,Y,unknown,118
106,119,Wading,"White Plains Beach, Barbers Point, O'ahu",F,1982,Left leg bitten,1982.02.27,Unknown,,Unprovoked,Hawaii,USA,N,unknown,119
107,121,Wading,"Ocean Isle, Brunswick County",F,1980,Bitten behind knee & lower leg,1980.08.22.R,Unknown,10.0,Unprovoked,North Carolina,USA,N,unknown,121
108,122,Floating with life preserver after his boat foundered,10 miles off Cape Canaveral,M,1979,Lacerations to leg,1979.08.05,Morning,56,Sea Disaster,Florida,USA,N,unknown,122
109,124,Spearfishing,"Miller's Point, False Bay",M,1978,"No injury, shark took his catch, then towed & pushed diver through the water",1978.11.23,Unknown,27.0,Unprovoked,Western Cape Province,SOUTH AFRICA,N,unknown,124
110,125,Standing,Klein River Lagoon,M,1977,Shark lacerated his hand when he grabbed it by the tail PROVOKED INCIDENT,1977.12.19.a,Unknown,,Provoked,Western Cape Province,SOUTH AFRICA,N,unknown,125
111,126,Boat,Gordon’s Bay,,1976,"No injury to occupants, shark leapt on bow of boat",1976.11.23,Unknown,,Watercraft,Western Cape Province,SOUTH AFRICA,N,unknown,126
112,127,Swimming,"Jacksonville, Duval County",M,1976,FATAL,1976.09.19,Unknown,16,Unprovoked,Florida,USA,Y,unknown,127
113,128,"Diving for abaone (Scuba, but at surface)","Perch Rock, Point Conception, Santa Barbara County",M,1975,Legs bitten,1975.07.26.b,Unknown,23.0,Unprovoked,California,USA,N,unknown,128
114,129,,"New Smyrna Beach, Volusia County",M,1975,Slightly injured when he stepped on a shark PROVOKED INCIDENT,1975.06.15,Unknown,,Provoked,Florida,USA,N,unknown,129
115,130,Crayfishing,Anglesea,M,1975,Puncture wounds to right shoulder,1975.02.14.R,Unknown,45,Unprovoked,Victoria,AUSTRALIA,N,unknown,130
116,131,Freedom swimming,,M,1974,Left foot bitten,1974.08.16.c,Unknown,18.0,Unprovoked,Mirs Bay,HONG KONG,N,unknown,131
117,132,Swimming,"New Smyrna Beach, Volusia County",F,1974,Lacerations to hip and leg,1974.07.20,Morning,61,Unprovoked,Florida,USA,N,unknown,132
118,133,Swimming,"Inyoni Rocks, Amanzimtoti",M,1974,"Right calf removed, leg surgically amputated below the knee",1974.03.21,Evening,14.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,unknown,133
119,134,"Free diving, Spearfishing","Memory Rock, 18 miles from NW end of the Island",M,1973,Left hand & forearm lacerated,1973.11.03,Unknown,11.0,Unprovoked,Grand Bahama Island,BAHAMAS,N,bull,134
120,135,Wading,"Revolcadero Beach, Acapulco",M,1973,"FATAL, multiple bites",1973.08.16,Evening,45,Unprovoked,Guerrero,MEXICO,Y,unknown,135
121,136,Scuba diving (submerged),Aulong Channel,M,1973,"No injury, shark grabbed scuba tank and descended to 110' before releasing him",1973.01.21,Unknown,,Unprovoked,Aulong Island,PALAU,N,tiger,136
122,137,Swimming,Watamu,M,1971,Right foot bitten,1971.06.30,Unknown,16.0,Unprovoked,Coast Province,KENYA,N,unknown,137
123,138,Swimming,Ika,M,1971,FATAL,1971.00.00.f,Unknown,,Unprovoked,Istria,CROATIA,Y,unknown,138
124,139,Body surfing,"Brennecke Beach, Po'ipu, Kaua'i",M,1970,Shoulder & arm bitten,1970.12.03,Unknown,,Unprovoked,Hawaii,USA,N,unknown,139
125,140,"Fishing, trying to catch the end of his fishing line",Shatt-al-Arab River,M,1970,Left hand bitten,1970.00.00.c,Unknown,35.0,Unprovoked,Basrah,IRAQ,N,unknown,140
126,142,Free diving,"Bodega Rock, Sonoma County",M,1968,Major injury to torso,1968.08.11,Morning,25.0,Unprovoked,California,USA,N,unknown,142
127,143,Swimming,Finschafen,,1968,FATAL,1968.02.02,Evening,13,Unprovoked,Morobe Province,PAPUA NEW GUINEA,Y,unknown,143
128,144,Fishing boat,Stretto di Messina,M,1967,"No injury to occupants,  harpooned shark sank boat PROVOKED INCIDENT",1967.07.00,Unknown,,Provoked,Sicily,ITALY,N,unknown,144
129,145,The shrimper Loless Maurine capsized in heavy seas & the men were swimming ashore,Cabo Rojo,M,1967,FATAL,1967.03.09,Unknown,,Sea Disaster,Veracruz,MEXICO,Y,unknown,145
130,146,Diving into water,"Butliwan Village, 15 miles north of Rabaul",F,1966,FATAL,1966.08.27.a,Midday,9.0,Unprovoked,Duke of York Islands,NEW BRITAIN,Y,unknown,146
131,147,Lobster diving using Scuba,Ye Leow,M,1966,"No injury, but shark struck his calf",1966.08.21.a,Evening,,Unprovoked,,TAIWAN,N,unknown,147
132,148,Swimming,Tamsui Beach,M,1966,"FATAL, left leg severed",1966.07.19,Unknown,20.0,Unprovoked,Northern Taiwan,TAIWAN,Y,unknown,148
133,149,Fishing from 34' boat when pulled overboard by hooked shark,Near Brisbane,M,1965,FATAL PROVOKED INCIDENT,1965.12.19,Unknown,43.0,Provoked,Queensland,AUSTRALIA,Y,unknown,149
134,150,Swimming,Mocambo,M,1965,"Right forearm severed, right leg bitten and surgically amputated",1965.06.19,Unknown,38.0,Unprovoked,Veracruz,MEXICO,N,unknown,150
135,151,Paddling on surfboard,"Juno Beach, Palm Beach County",M,1965,Left hand punctured & lacerated,1965.04.10,Morning,17.0,Unprovoked,Florida,USA,N,blacktip,151
136,153,Spearfishing,Island Rock,M,1964,FATAL,1964.07.16,Unknown,52,Invalid,KwaZulu-Natal,SOUTH AFRICA,Y,unknown,153
137,154,Body surfing,Nahoon,M,1964,Heel & ankle bitten,1964.02.00.a,Unknown,39.0,Unprovoked,Eastern Cape Province,SOUTH AFRICA,N,unknown,154
138,155,Spearfishing / Scuba diving (at surface),Southeast Farallon Island,M,1964,Leg & thigh bitten,1964.01.21,Morning,21.0,Unprovoked,California,USA,N,unknown,155
139,156,Bathing,"New Smyrna Beach, Volusia County",M,1963,"Left forearm bitten, surgically amputated?",1963.08.00,Unknown,14.0,Unprovoked,Florida,USA,N,unknown,156
140,157,Swimming,near Trikerion Island,F,1963,FATAL,1963.07.10.R,Unknown,42,Unprovoked,Thessaly,GREECE,Y,unknown,157
141,160,Shark fishing,Tory Channel,,1960,Harpooned shark bit boat PROVOKED INCIDENT,1960.07.02.a,Unknown,,Provoked,Cook Strait,NEW ZEALAND,N,unknown,160
142,162,Body surfing,"Fairhaven Beach, Lorne",M,1959,"Thighs bitten, right hand lacerated",1959.12.03,Unknown,19.0,Unprovoked,Victoria,AUSTRALIA,N,unknown,162
143,164,Fishing,"Off La Jolla Cove, San Diego County",,1959,"No injury to occupant, shark rammed boat",1959.07.25.b,Unknown,,Watercraft,California,USA,N,hammerhead,164
144,165,Spearfishing,"Panama City, Bay County",M,1959,Lacerated hip & hands,1959.05.16,Morning,19.0,Unprovoked,Florida,USA,N,tiger,165
145,166,"On boat, preparing to dive",Miami,M,1959,Boat followed shark; shark holed boat,1959.03.29,Unknown,,Watercraft,Florida,USA,N,tiger,166
146,167,Fishing,"Ururumba, mouth of Kikori River 7.45S, 144.40E",M,1959,Arm bitten by shark that he thought was dead PROVOKED INCIDENT,1959.02.28,Unknown,,Provoked,Kikori River mouth,PAPUA NEW GUINEA,N,unknown,167
147,168,Boat stopped to repair electric pump,Ensenada,,1958,Shark tried to bite prop twice,1958.09.06,Morning,,Boat,Baja California,MEXICO,N,hammerhead,168
148,169,,"Brooker Island , Calvados Chain",,1958,FATAL,1958.00.00.i,Unknown,,Unprovoked,Louisiade Archipelago,PAPUA NEW GUINEA,Y,unknown,169
149,170,Spearfishing,"Kombe, Talasea",M,1958,"FATAL, severe abdominal injuries",1958.00.00.f,Unknown,,Unprovoked,West New Britain Province,PAPUA NEW GUINEA,Y,unknown,170
150,171,Swimming between  anchored  pearling luggers,"Thursday Island Harbour, Queensland",M,1957,"Left arm bitten, surgically amputated",1957.04.23,Unknown,22.0,Unprovoked,Torres Strait,AUSTRALIA,N,unknown,171
151,172,Treading water,"Merewether Beach, Newcastle",M,1951,FATAL,1951.12.16,Unknown,21.0,Unprovoked,New South Wales,AUSTRALIA,Y,unknown,172
152,173,Swimming,Off Royal Residence,F,1951,"FATAL, body not recovered Another man was also injured by the shark at same time (see below)",1951.09.02-R,Unknown,16.0,Unprovoked,Corfu Island,GREECE,Y,unknown,173
153,174,,Hawkesbury River,M,1951,Body found after a week in the water apparently bitten by shark/s,1951.02.01,Unknown,,Invalid,New South Wales,AUSTRALIA,U,unknown,174
154,175,Fishing,Albenga,M,1950,Harpooned shark bit his forehead PROVOKED INCIDENT,1950.07.27.R,Unknown,,Provoked,Savona,ITALY,N,unknown,175
155,176,Swimming,"Beach 103rd Street, Rockaway",M,1950,"Gashes & lacerations on legs, foot lacerated.",1950.07.09,Unknown,16.0,Unprovoked,New York,USA,N,sand,176
156,177,Lifesaving drill,"North Beach, Durban",M,1950,FATAL,1950.04.09.a,Evening,20.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,Y,unknown,177
157,178,Swimming,Kerpuna,M,1949,"FATAL. One man's abdomen removed, the other received severe multiple injuries.",1949.00.00.c,Unknown,,Unprovoked,"Abau Sub District, Central Province",NEW GUINEA,Y,unknown,178
158,179,Walking,Scottburgh,M,1945,"Right leg bitten knee to foot, surgically amputated",1945.06.15,Unknown,37.0,Unprovoked,KwaZulu-Natal,SOUTH AFRICA,N,zambesi,179
159,180,Diving from lugger,"Great Barrier Reef, off Cairns",M,1942,"Hands, arms & knee lacerated",1942.06.04,Unknown,,Unprovoked,Queensland,AUSTRALIA,N,unknown,180
160,181,Swimming,"Egg Rock, Middle Harbor, Sydney",F,1942,"FATAL, bitten in two",1942.03.04,Unknown,28.0,Unprovoked,New South Wales,AUSTRALIA,Y,bull,181
161,182,Swimming at edge of channel,Sullivan's Island at entrance to Charleston Harbor,M,1941,Chest lacerated,1941.08.21.R,Unknown,20.0,Unprovoked,South Carolina,USA,N,unknown,182
162,183,Fishing,"Santa Monica, Los Angeles County",M,1941,Right hand bitten by boated shark PROVOKED INCIDENT,1941.06.00,Unknown,53.0,Provoked,California,USA,N,unknown,183
163,184,,"Gaire Village, between Rigo & Port Moresby",M,1941,"Foot severely bitten, surgically amputated",1941.00.00.c,Unknown,14.0,Unprovoked,,PAPUA NEW GUINEA,N,unknown,184
